author,s_count,s_mean,s_std,s_min,s_25,s_50,s_75,s_max,comp,neg,neu,pos,rating
jeremy d. larson,37.0,6.93,0.92,3.2,6.4,7.2,7.4,8.0,-0.08,0.09,0.3,0.87,6.93
jeremy gordon,40.0,6.99,0.95,3.5,6.6,7.1,7.52,8.5,-0.08,0.11,0.34,0.85,7.0
jeremy larson,1.0,6.4,,6.4,6.4,6.4,6.4,6.4,-0.05,0.09,0.23,0.86,6.4
jeremy schneyer,10.0,7.23,0.83,6.0,6.48,7.25,8.05,8.1,-0.08,0.12,0.32,0.84,7.23
jes skolnik,20.0,7.26,0.31,6.8,7.0,7.3,7.43,7.9,-0.08,0.11,0.34,0.85,7.26
jess harvell,366.0,7.07,1.15,3.8,6.5,7.0,7.9,10.0,-0.1,0.1,0.3,0.85,7.06
jesse fahnestock,2.0,6.15,0.64,5.7,5.93,6.15,6.37,6.6,-0.11,0.12,0.32,0.82,6.15
jesse jarnow,12.0,8.16,0.81,7.1,7.8,7.9,8.27,10.0,-0.07,0.09,0.31,0.88,8.16
jessica hopper,14.0,7.31,1.42,4.5,6.62,7.7,8.0,10.0,-0.11,0.1,0.29,0.85,7.31
jessica suarez,51.0,7.1,0.73,5.2,6.55,7.2,7.65,8.3,-0.08,0.1,0.27,0.85,7.1
jia tolentino,9.0,6.19,1.72,2.5,5.4,6.8,7.3,7.8,-0.08,0.09,0.27,0.86,6.19
jillian mapes,16.0,7.58,0.83,5.9,7.22,7.8,8.3,8.5,-0.07,0.12,0.35,0.85,7.58
joe colly,153.0,6.9,1.26,1.4,6.3,7.0,7.7,9.0,-0.06,0.11,0.32,0.85,6.91
joe tangari,987.0,7.38,0.98,2.1,7.0,7.5,8.0,10.0,-0.07,0.11,0.32,0.86,7.39
joel oliphint,13.0,6.75,0.92,4.9,6.1,7.1,7.4,7.8,-0.09,0.1,0.29,0.85,6.75
john dark,30.0,6.49,1.61,2.6,5.93,6.8,7.3,8.7,-0.08,0.11,0.26,0.84,6.49
john everhart,1.0,7.1,,7.1,7.1,7.1,7.1,7.1,-0.12,0.07,0.23,0.85,7.1
john motley,36.0,6.74,0.89,5.0,6.3,6.8,7.32,8.4,-0.1,0.1,0.27,0.85,6.74
john o'connor,9.0,5.71,1.68,3.0,4.9,6.5,6.5,7.4,-0.12,0.09,0.25,0.84,5.71
john s.w. macdonald,6.0,6.63,0.42,5.9,6.48,6.75,6.95,7.0,-0.11,0.12,0.34,0.84,6.63
johnny loftus,62.0,6.62,1.58,1.9,6.1,7.1,7.5,8.5,-0.09,0.1,0.27,0.85,6.62
jonah bromwich,87.0,6.85,0.9,3.6,6.3,6.9,7.5,8.7,-0.09,0.11,0.34,0.85,6.85
jonathan bernstein,3.0,7.87,0.15,7.7,7.8,7.9,7.95,8.0,-0.12,0.1,0.31,0.86,7.87
jonathan garrett,10.0,5.68,1.87,3.6,3.7,6.1,7.28,8.2,-0.06,0.1,0.28,0.86,5.68
jonathan k. dick,3.0,7.77,0.32,7.4,7.65,7.9,7.95,8.0,-0.12,0.11,0.3,0.86,7.77
jonathan patrick,2.0,7.35,1.2,6.5,6.92,7.35,7.78,8.2,-0.13,0.09,0.27,0.84,7.35
jonathan zwickel,61.0,7.35,0.82,4.2,7.0,7.4,7.8,9.0,-0.08,0.11,0.3,0.85,7.35
jonny pietin,3.0,6.37,0.64,6.0,6.0,6.0,6.55,7.1,-0.09,0.07,0.2,0.88,6.37
jordan sargent,65.0,6.52,1.34,1.0,5.8,6.7,7.6,8.2,-0.09,0.1,0.33,0.86,6.52
josh love,4.0,7.1,0.74,6.0,7.05,7.4,7.45,7.6,-0.0,0.12,0.42,0.85,7.1
joshua klein,267.0,6.75,1.22,2.7,6.0,7.0,7.5,10.0,-0.09,0.11,0.32,0.85,6.75
joshua love,125.0,6.33,1.17,2.0,5.6,6.5,7.2,9.1,-0.08,0.12,0.38,0.84,6.33
jt ramsay,2.0,6.25,1.77,5.0,5.62,6.25,6.88,7.5,-0.07,0.15,0.35,0.8,6.25
